Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO
0-hero/Matter-0.2-7B-DPO,7.242,2024-08-05,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.90636130175029,33.02792147058693,10.055525080241035,1.4350453172205437,1.230425055928408,5.871874999999999,1.8173758865248217
01-ai/Yi-1.5-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,25.64649419429311,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738257,11.217187500000003,40.732121749408975
01-ai/Yi-1.5-34B-32K,34.389,2024-06-12,apache-2.0,🟢 pretrained,26.727912908508134,31.186917379220468,43.38184666762572,15.407854984894259,15.100671140939594,14.07786458333333,41.21232269503546
01-ai/Yi-1.5-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",33.35799367075618,60.66758423205982,44.262825981005655,27.719033232628398,15.324384787472036,13.058072916666665,39.11606087470449
01-ai/Yi-1.5-34B-Chat-16K,34.389,2024-07-15,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",29.403554842710225,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.736718750000001,39.383865248226954
01-ai/Yi-1.5-6B,6.061,2024-08-10,apache-2.0,🟢 pretrained,16.745698054972127,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333335,23.823507683215126
01-ai/Yi-1.5-6B-Chat,6.061,2024-10-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",22.784006289829847,51.452701055421834,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788
01-ai/Yi-1.5-9B,8.829,2024-06-12,apache-2.0,🟢 pretrained,22.153901514184795,29.358435617494916,30.50071699492122,11.404833836858005,17.225950782997764,12.030989583333332,32.402482269503544
01-ai/Yi-1.5-9B-32K,8.829,2024-06-12,apache-2.0,🟢 pretrained,19.809786285875365,23.031113002389215,28.937011582169664,10.80060422960725,14.541387024608499,10.82682291666667,30.721778959810877
01-ai/Yi-1.5-9B-Chat,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",29.530872220260978,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508
01-ai/Yi-1.5-9B-Chat-16K,8.829,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",23.76539234993476,42.14040966856828,31.497608947018318,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354
01-ai/Yi-34B,34.389,2024-06-12,apache-2.0,🟢 pretrained,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855
01-ai/Yi-34B-200K,34.389,2024-06-12,apache-2.0,🟢 pretrained,20.01347533597433,15.424850507763843,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.273049645390074
01-ai/Yi-34B-Chat,34.389,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",24.226662652803373,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165
01-ai/Yi-6B,6.061,2024-06-12,apache-2.0,🟢 pretrained,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298
01-ai/Yi-6B-200K,6.061,2024-06-12,apache-2.0,🟢 pretrained,11.996098298832841,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008
01-ai/Yi-6B-Chat,6.061,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.11765000523676,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113
