file,bytes,MB,GB
A_data_value/domain_mapping_guide.csv,1296,0.001,0.000001
A_data_value/regmix_domain_sample.jsonl.xz,165293312,165.293,0.165293
A_data_value/regmix_domain_summary.csv,1265,0.001,0.000001
A_data_value/regmix_tables/est_mixture_10b.csv,6113,0.006,0.000006
A_data_value/regmix_tables/est_mixture_70b.csv,6113,0.006,0.000006
A_data_value/regmix_tables/est_pile_loss_10b.csv,6467,0.006,0.000006
A_data_value/regmix_tables/est_pile_loss_70b.csv,6467,0.006,0.000006
A_data_value/regmix_tables/test_mixture_1B.csv,6393,0.006,0.000006
A_data_value/regmix_tables/test_mixture_1m.csv,23537,0.024,0.000024
A_data_value/regmix_tables/test_mixture_60m.csv,23537,0.024,0.000024
A_data_value/regmix_tables/test_pile_loss_1B.csv,10639,0.011,0.000011
A_data_value/regmix_tables/test_pile_loss_1m.csv,61175,0.061,0.000061
A_data_value/regmix_tables/test_pile_loss_60m.csv,61827,0.062,0.000062
A_data_value/regmix_tables/train_mixture_1m.csv,46412,0.046,0.000046
A_data_value/regmix_tables/train_pile_loss_1m.csv,121898,0.122,0.000122
A_data_value/slimpajama_quality_extended/arxiv_part-6777d8857c6e-000486.jsonl.xz,3652724,3.653,0.003653
A_data_value/slimpajama_quality_extended/github_part-6777d8857c6e-000275.jsonl.xz,37618172,37.618,0.037618
A_data_value/slimpajama_quality_signal_sample.jsonl.xz,103349792,103.350,0.103350
B_scaling_laws/cerebras_training_log.csv,89643,0.090,0.000090
B_scaling_laws/open_model_family_metadata.csv,1975,0.002,0.000002
B_scaling_laws/published_scaling_data.csv,1967,0.002,0.000002
B_scaling_laws/pythia_checkpoint_index.csv,117698,0.118,0.000118
B_scaling_laws/pythia_training_log_existing.csv,111459,0.111,0.000111
B_scaling_laws/scaling_baseline.csv,1421,0.001,0.000001
B_scaling_laws/supplementary_NQ_experiment.csv,13670,0.014,0.000014
B_scaling_laws/supplementary_NQ_experiment_expanded.csv,17154,0.017,0.000017
B_scaling_laws/supplementary_NQ_experiment_large.csv,81268,0.081,0.000081
B_scaling_laws/supplementary_large_baseline.csv,4744,0.005,0.000005
B_scaling_laws/supplementary_large_models.csv,13400,0.013,0.000013
B_scaling_laws/training_trajectories/pythia_0.070542B_trajectory.csv,14040,0.014,0.000014
B_scaling_laws/training_trajectories/pythia_0.162405B_trajectory.csv,14040,0.014,0.000014
B_scaling_laws/training_trajectories/pythia_0.409009B_trajectory.csv,14040,0.014,0.000014
B_scaling_laws/training_trajectories/pythia_1.040867B_trajectory.csv,14040,0.014,0.000014
B_scaling_laws/training_trajectories/pythia_1.416184B_trajectory.csv,14040,0.014,0.000014
B_scaling_laws/training_trajectories/pythia_11.965825B_trajectory.csv,14540,0.015,0.000015
B_scaling_laws/training_trajectories/pythia_2.782831B_trajectory.csv,14040,0.014,0.000014
B_scaling_laws/training_trajectories/pythia_6.86104B_trajectory.csv,13540,0.014,0.000014
C_efficiency_evolution/data/train-00000-of-00001.parquet,1109997,1.110,0.001110
C_efficiency_evolution/detailed_results/0-hero_Matter-0.2-7B-DPO/results_2024-08-07T13-21-02.903091.json,119298,0.119,0.000119
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-32K/results_2024-06-17T17-59-09.162276.json,120058,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat-16K/results_2024-07-17T11-40-22.183397.json,119088,0.119,0.000119
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B-Chat/results_2024-06-17T00-49-43.171619.json,121683,0.122,0.000122
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-34B/results_2024-06-19T03-56-15.142347.json,120071,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B-Chat/results_2024-06-17T10-38-31.759281.json,120578,0.121,0.000121
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-6B/results_2024-06-17T14-53-45.170909.json,120069,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-32K/results_2024-06-16T17-46-59.477573.json,120091,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat-16K/results_2024-06-16T18-02-27.668102.json,120581,0.121,0.000121
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B-Chat/results_2024-06-17T09-46-28.414421.json,120577,0.121,0.000121
C_efficiency_evolution/detailed_results/01-ai_Yi-1.5-9B/results_2024-06-16T17-52-34.155462.json,120030,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-34B-200K/results_2024-06-17T01-54-37.398814.json,121159,0.121,0.000121
C_efficiency_evolution/detailed_results/01-ai_Yi-34B-Chat/results_2025-02-13T18-27-04.338360.json,121534,0.122,0.000122
C_efficiency_evolution/detailed_results/01-ai_Yi-34B/results_2024-06-17T01-51-43.500501.json,121150,0.121,0.000121
C_efficiency_evolution/detailed_results/01-ai_Yi-6B-200K/results_2024-06-16T17-48-55.414532.json,120053,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-6B-Chat/results_2024-06-16T17-51-39.036011.json,120311,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-6B/results_2024-06-16T17-47-09.271300.json,120064,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-9B-200K/results_2024-06-16T17-43-23.132103.json,120066,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-9B/results_2024-06-17T09-47-58.683900.json,120022,0.120,0.000120
C_efficiency_evolution/detailed_results/01-ai_Yi-Coder-9B-Chat/results_2024-09-14T00-02-12.867980.json,119111,0.119,0.000119
C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct/results_2025-02-06T11-27-58.645224.json,114673,0.115,0.000115
C_efficiency_evolution/detailed_results/1-800-LLMs_Qwen-2.5-14B-Hindi/results_2025-02-06T06-30-20.641880.json,114650,0.115,0.000115
C_efficiency_evolution/detailed_results/1024m_PHI-4-Hindi/results_2025-02-06T05-43-08.878637.json,114627,0.115,0.000115
C_efficiency_evolution/detailed_results/1024m_QWEN-14B-B100/results_2025-02-06T10-49-32.966803.json,116937,0.117,0.000117
C_efficiency_evolution/detailed_results/152334H_miqu-1-70b-sf/results_2024-07-26T02-32-43.573766.json,118562,0.119,0.000119
C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-7B-v0.1/results_2024-09-21T10-25-05.082341.json,119470,0.119,0.000119
C_efficiency_evolution/detailed_results/1TuanPham_T-VisStar-v0.1/results_2024-09-21T08-53-27.413933.json,119462,0.119,0.000119
